"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Nov 30 04:56:10 UTC 2025","Sun Nov 30 04:56:53 UTC 2025","42744","Google Chrome","register.spec.ts","","","","Verify user is able to Register Bob",""
"broken","Sun Nov 30 04:58:21 UTC 2025","Sun Nov 30 04:59:04 UTC 2025","42886","Google Chrome","search.spec.ts","","","","verify product search samsung",""
"broken","Sun Nov 30 04:48:54 UTC 2025","Sun Nov 30 04:49:37 UTC 2025","42891","Google Chrome","loginpage.spec.ts","","","","verify invalid Login",""
"broken","Sun Nov 30 04:59:48 UTC 2025","Sun Nov 30 05:00:31 UTC 2025","42698","Google Chrome","search.spec.ts","","","","verify product search canon",""
"broken","Sun Nov 30 04:54:43 UTC 2025","Sun Nov 30 04:55:26 UTC 2025","42824","Google Chrome","productinfo.spec.ts","","","","verify product metaPrice",""
"broken","Sun Nov 30 04:50:22 UTC 2025","Sun Nov 30 04:51:05 UTC 2025","42844","Google Chrome","productinfo.spec.ts","","","","verify product header MacBook Air",""
"broken","Sun Nov 30 04:49:38 UTC 2025","Sun Nov 30 04:50:21 UTC 2025","42799","Google Chrome","productinfo.spec.ts","","","","verify product header MacBook Pro",""
"broken","Sun Nov 30 04:51:49 UTC 2025","Sun Nov 30 04:52:32 UTC 2025","42828","Google Chrome","productinfo.spec.ts","","","","verify images count MacBook Pro : 4",""
"broken","Sun Nov 30 04:53:16 UTC 2025","Sun Nov 30 04:53:59 UTC 2025","42886","Google Chrome","productinfo.spec.ts","","","","verify images count Samsung Galaxy Tab 10.1 : 7",""
"broken","Sun Nov 30 04:48:06 UTC 2025","Sun Nov 30 04:48:49 UTC 2025","42842","Google Chrome","loginpage.spec.ts","","","","verify valid Login @login @sanity",""
"broken","Sun Nov 30 04:54:00 UTC 2025","Sun Nov 30 04:54:42 UTC 2025","42727","Google Chrome","productinfo.spec.ts","","","","verify product metadata",""
"broken","Sun Nov 30 04:57:38 UTC 2025","Sun Nov 30 04:58:20 UTC 2025","42820","Google Chrome","search.spec.ts","","","","verify product search macbook",""
"broken","Sun Nov 30 04:55:27 UTC 2025","Sun Nov 30 04:56:10 UTC 2025","42864","Google Chrome","register.spec.ts","","","","Verify user is able to Register Alice",""
"broken","Sun Nov 30 04:51:05 UTC 2025","Sun Nov 30 04:51:48 UTC 2025","42854","Google Chrome","productinfo.spec.ts","","","","verify product header Samsung Galaxy Tab 10.1",""
"broken","Sun Nov 30 04:56:54 UTC 2025","Sun Nov 30 04:57:37 UTC 2025","42801","Google Chrome","register.spec.ts","","","","Verify user is able to Register Charlie",""
"broken","Sun Nov 30 04:59:05 UTC 2025","Sun Nov 30 04:59:48 UTC 2025","42881","Google Chrome","search.spec.ts","","","","verify product search imac",""
"broken","Sun Nov 30 04:52:33 UTC 2025","Sun Nov 30 04:53:15 UTC 2025","42678","Google Chrome","productinfo.spec.ts","","","","verify images count MacBook Air : 4",""
"broken","Sun Nov 30 05:00:32 UTC 2025","Sun Nov 30 05:01:15 UTC 2025","42791","Google Chrome","search.spec.ts","","","","verify product search Dummy",""
